N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
104	ACANTHACEAE	Justicia	Justicia novogranatensis	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Triana 4084-1 (HT: K	 IT: COL, NY)"	Conocida solo del tipo	Andes	1300 m	1300 m	Cauca	
105	ACANTHACEAE	Justicia	Justicia oreopola	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Philipson 2183 (HT: US	 IT: BM, COL)"	Conocida solo del tipo	Guayana y Serran?a de La Macarena	1450 m	1450 m	Meta	
106	ACANTHACEAE	Justicia	Justicia pampolystachys	Lindau		Leonard 1958		Arbusto	Nativa	No Evaluada	Klug 1724 (HT: US)	Conocida solo del tipo	Amazonia	520 m	520 m	Putumayo	
107	ACANTHACEAE	Justicia	Justicia pedropalensis	J.R.I.Wood		Wood 1988		Hierba	Nativa	No Evaluada	Wood 4018 (COL)	Tipo de Colombia	Andes	1900 m	2000 m	Cundinamarca	
108	ACANTHACEAE	Justicia	Justicia pelianthia	Leonard		Leonard 1958		Subarbusto, Arbusto	Nativa	No Evaluada	"Cuatrecasas 11157 (HT: US	 IT: COL)"	Conocida solo del tipo	Amazonia	330 m	330 m	Putumayo	
109	ACANTHACEAE	Justicia	Justicia petraea	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Collenette 614 (HT: K)	Conocida solo del tipo	Pac?fico	60 m	70 m	Cauca	Isla Gorgona
110	ACANTHACEAE	Justicia	Justicia pharmacodes	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	"Haught 4072 (HT: US	 IT: COL)"	Tipo de Colombia	Andes, Llanura del Caribe, Sierra Nevada de Santa Marta	170 m	700 m	Cesar, La Guajira, Magdalena	
111	ACANTHACEAE	Justicia	Justicia phlebophylla	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	"Haught 4564 (HT: US	 IT: COL)"	Tipo de Colombia	Pac?fico	50 m	150 m	Antioquia	Urab?
112	ACANTHACEAE	Justicia	Justicia phytolaccoides	Leonard		Leonard 1958		Hierba, Subarbusto, Arbusto	Nativa	No Evaluada	"Haught 6242 (HT: US	 IT: HUA)"	Tipo de Colombia	Andes, Pac?fico, Valle del Magdalena	20 m	1120 m	Antioquia, Cundinamarca, Santander, Tolima	Cuenca del Magdalena a Urab?
113	ACANTHACEAE	Justicia	Justicia porphyrocoma	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	Ariste-Joseph B (HT: US)	Conocida solo del tipo	Andes	1120 m	1120 m	Cundinamarca	Cordillera Oriental
114	ACANTHACEAE	Justicia	Justicia rhodoides	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Smith 1358 (HT: US	 IT: PH, NY, S)"	Conocida solo del tipo	Llanura del Caribe	100 m	300 m	Magdalena	
115	ACANTHACEAE	Justicia	Justicia schneideri	Leonard		Leonard 1961		Subarbusto	Nativa	No Evaluada	Schneider 473 (S)	Conocida solo del tipo	Andes	1500 m	1500 m	Cundinamarca	
116	ACANTHACEAE	Justicia	Justicia sciera	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Guti?rrez 1300 (HT: MEDEL)	Tipo de Colombia	Andes	1600 m	1600 m	Antioquia	Cordillera Central
117	ACANTHACEAE	Justicia	Justicia sciota	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Allen 844 (HT: MO?	 IT: K)"	Conocida solo del tipo	Llanura del Caribe	140 m	140 m	Cesar	
118	ACANTHACEAE	Justicia	Justicia sterea	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Cuatrecasas 16811 (HT: VALLE)	Conocida solo del tipo	Pac?fico	5 m	50 m	Valle	
119	ACANTHACEAE	Justicia	Justicia stereostachya	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Cuatrecasas 13061 (HT: US	 COL)"	Conocida solo del tipo	Andes	470 m	600 m	Norte de Santander	Cordillera Oriental
120	ACANTHACEAE	Justicia	Justicia trianae	(Leonard) J.R.I.Wood	Pelecostemon trianae Leonard	Leonard 1958, Wood 2009		Hierba	Nativa	No Evaluada	Triana s.n. (HT: K)	Conocida solo del tipo	Orinoquia	500 m	500 m	Meta	
121	ACANTHACEAE	Justicia	Justicia xanthostachya	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	Kalbreyer 930 (HT: K)	Conocida solo del tipo	Andes	700 m	900 m	Norte de Santander	Cordillera Oriental
122	ACANTHACEAE	Kalbreyeriella	Kalbreyeriella cabrerae	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Schultes 19095 (HT: US)	Conocida solo del tipo	Amazonia	550 m	750 m	Putumayo	
123	ACANTHACEAE	Mendoncia	Mendoncia antioquiensis	Wassh.		Wasshausen 1989b		Trepadora, Liana	Nativa	No Evaluada	Brand 142 (HT: MO)	Tipo de Colombia	Andes, Pac?fico	80 m	1700 m	Antioquia	
124	ACANTHACEAE	Mendoncia	Mendoncia caquetensis	Leonard		Leonard 1961		Trepadora	Nativa	No Evaluada	von Sneidern A1008 (S)	Conocida solo del tipo	Amazonia	100 m	100 m	Caquet?	
125	ACANTHACEAE	Mendoncia	Mendoncia cordata	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	"Cuatrecasas 15216 (HT: US	 IT: US)"	Tipo de Colombia	Pac?fico	200 m	960 m	Antioquia, Choc?, Valle	
126	ACANTHACEAE	Mendoncia	Mendoncia garciae	Leonard		Leonard 1958		Liana	Nativa	No Evaluada	"Garc?a-Barriga 14399 (HT: US	 IT: US)"	Conocida solo del tipo	Amazonia	250 m	250 m	Vaup?s	
127	ACANTHACEAE	Mendoncia	Mendoncia gilva	Leonard		Leonard 1951		Trepadora, Liana	Nativa	No Evaluada	Haught 1799 (HT: US)	Conocida solo del tipo	Valle del Magdalena	100 m	700 m	Santander	
128	ACANTHACEAE	Mendoncia	Mendoncia glabrescens	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	"Cuatrecasas 17238 (HT: US	 IT: COL)"	Tipo de Colombia	Andes, Pac?fico	5 m	2000 m	Antioquia, Choc?, Valle	
129	ACANTHACEAE	Mendoncia	Mendoncia gracilis	Turrill		Turrill 1919, Leonard 1951, Leonard 1958		Trepadora	Nativa	No Evaluada	Lehmann 8792 (HT: K)	Tipo de Colombia	Andes	300 m	2080 m	Antioquia, Choc?, Cundinamarca, Quind?o, Tolima, Valle	
130	ACANTHACEAE	Mendoncia	Mendoncia microchlamys	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	Lawrance 264 (HT: S)	Tipo de Colombia	Andes	500 m	2100 m	Antioquia, Boyac?, Valle	
131	ACANTHACEAE	Mendoncia	Mendoncia mirabilis	Leonard		Leonard 1951		Trepadora	Nativa	No Evaluada	"Haught 4922 (HT: US	 IT: COL, US)"	Tipo de Colombia	Pac?fico, Valle del Magdalena	50 m	330 m	Antioquia, Choc?	
132	ACANTHACEAE	Mendoncia	Mendoncia mutisii	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	Mutis 916 (HT: US)	Tipo de Colombia	Andes, Pac?fico	200 m	200 m	C?rdoba	
133	ACANTHACEAE	Mendoncia	Mendoncia odorata	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	"Haught 2494 (HT: US	 IT: COL)"	Tipo de Colombia	Andes, Orinoquia	200 m	1524 m	Boyac?, Cundinamarca, Meta	
134	ACANTHACEAE	Mendoncia	Mendoncia pennellii	Leonard		Leonard 1951		Trepadora, Liana	Nativa	No Evaluada	"Pennell 10601 (HT: GH	 IT: NY)"	Tipo de Colombia	Andes, Pac?fico	50 m	1550 m	Antioquia, Boyac?, Caldas, Nari?o, Valle	
135	ACANTHACEAE	Mendoncia	Mendoncia phalacra	Leonard		Leonard 1958		Trepadora	Nativa	No Evaluada	"Garc?a-Barriga 14403 (HT: US	 IT: COL)"	Conocida solo del tipo	Amazonia	250 m	250 m	Vaup?s	
136	ACANTHACEAE	Mendoncia	Mendoncia rosea	Leonard		Leonard 1951		Liana	Nativa	No Evaluada	"Killip 15368 (HT: US	 IT: NY)"	Tipo de Colombia	Andes	1500 m	1900 m	Santander	
137	ACANTHACEAE	Mendoncia	Mendoncia tetragona	Leonard		Leonard 1961		Trepadora	Nativa	No Evaluada	Espina 3779 (MO)	Tipo de Colombia	Pac?fico	0 m	100 m	Choc?	
138	ACANTHACEAE	Mendoncia	Mendoncia zarucchii	Wassh.		Wasshausen 1989b		Trepadora, Liana	Nativa	No Evaluada	"Zarucchi 1736 (HT: US	 IT: COL)"	Tipo de Colombia	Amazonia, Guayana y Serran?a de La Macarena	180 m	180 m	Vaup?s	
139	ACANTHACEAE	Odontonema	Odontonema ampelocaule	Leonard		Leonard 1958		Liana	Nativa	No Evaluada	"Garc?a-Barriga 12473 (HT: US	 IT: COL)"	Conocida solo del tipo	Andes	1050 m	1420 m	Cundinamarca	Cordillera Oriental
140	ACANTHACEAE	Odontonema	Odontonema bracteolatum	(Jacq.) Kuntze		Leonard 1958	Odontonema bracteolatum var. parviflorum Leonard	Subarbusto	Nativa	No Evaluada	Haught 3727 (COL)	Tipo de Colombia	Llanura del Caribe, Sierra Nevada de Santa Marta	70 m	800 m	Atl?ntico, Bol?var, Cesar, Magdalena, Norte de Santander, Sucre	
141	ACANTHACEAE	Odontonema	Odontonema rubrum	(Vahl) Kuntze		Leonard 1958		Hierba, Subarbusto, Arbusto	Nativa	No Evaluada	Smith 1390 (GH, NY, PH, S)	Tipo de Colombia	Sierra Nevada de Santa Marta	1600 m	1600 m	Antioquia, Bol?var, Choc?, Magdalena, Sucre	
142	ACANTHACEAE	Odontonema	Odontonema sessile	Kuntze	Odontonema coccineum Leonard	Leonard 1958		Arbusto	Nativa	No Evaluada	MacDougal 3708 (HUA, MO)	Tipo de Colombia	Andes, Valle del Magdalena	150 m	1380 m	Antioquia, Santander	
143	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum chaponense	Leonard		Leonard 1958	Pseuderanthemum chaponense f. lilacinum Leonard	Subarbusto, Arbusto	Nativa	No Evaluada	Lawrance 441 (HT: NY)	Tipo de Colombia	Andes, Valle del Magdalena	762 m	925 m	Antioquia, Boyac?	
144	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum chilianthium	Leonard		Leonard 1958		Arbusto, Arbolito, Trepadora	Nativa	No Evaluada	"Killip 35270 (HT: US	 IT: COL)"	Tipo de Colombia	Andes, Orinoquia, Pac?fico, Valle del Magdalena	80 m	660 m	Antioquia, Cauca, Choc?, Meta, Tolima, Valle	
145	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum chocoense	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Triana 101-5 (HT: K)	Conocida solo del tipo	Pac?fico	150 m	150 m	Choc?	
146	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum cladodes	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Lehmann 7266 (HT: K)	Tipo de Colombia	Andes	400 m	800 m	Antioquia	
147	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum ctenospermum	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Cuatrecasas 16433 (HT: US)	Tipo de Colombia	Pac?fico	5 m	100 m	Cauca, Choc?, Valle	
148	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum dawei	Turrill	Pseuderanthemum cuatrecasasii Leonard	Leonard 1958, Wood 1988		Arbusto	Nativa	No Evaluada	"Dawe 847 (HT: K	 IT: NY, US)"	Tipo de Colombia	Andes	1300 m	2200 m	Choc?, Valle	Cuenca del R?o Cauca
149	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum diachylum	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Haught 5489 (HT: US)	Conocida solo del tipo	Pac?fico	300 m	300 m	Choc?	
150	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum ellipticum	Turrill	Pseuderanthemum ewanii Leonard, Pseuderanthemum pennellii Leonard	Leonard 1958, Wood 1988		Hierba, Subarbusto	Nativa	No Evaluada	Kalbreyer 2042 (LT: K)	Tipo de Colombia	Andes	1100 m	2300 m	Antioquia, Caldas, Cundinamarca	
151	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum galbanum	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	"Garc?a-Barriga 14377 (HT: US	 IT: COL)"	Tipo de Colombia	Amazonia	250 m	250 m	Amazonas, Vaup?s	
152	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum hylophilum	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Cuatrecasas 15317 (HT: US	 IT: F)"	Conocida solo del tipo	Andes	1000 m	1200 m	Valle	Cordillera Occidental
153	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum idroboi	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Idrobo 536 (HT: US	 IT: COL)"	Tipo de Colombia	Guayana y Serran?a de La Macarena	200 m	1000 m	Guaviare, Meta	
154	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum interruptum	(Kunth) V.M.Baum	Justicia interrupta Kunth, Odontonema interruptum (Kunth) Kuntze, Thyrsacanthus interruptus (Kunth) Nees	Leonard 1958, Baum 1982		Arbusto	Nativa	No Evaluada	Humboldt s.n. (ST: P)	Tipo de Colombia	Andes	1830 m	1830 m	Antioquia	
155	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum lanceum	(Nees) Radlk.		Nees 1847		Arbusto	Nativa	No Evaluada	Goudot s.n. (HT: K)	Conocida solo del tipo				Tolima	
156	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum leiophyllum	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Toro 943 (HT: MEDEL)	Conocida solo del tipo	Andes	1500 m	1500 m	Antioquia	
157	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum leptostachys	Leonard		Leonard 1961		Hierba	Nativa	No Evaluada	von Sneidern 5710 (S)	Conocida solo del tipo	Pac?fico, Valle del Magdalena	500 m	500 m	C?rdoba	Serran?a de Abibe
158	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum micranthum	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Triana 101-1 (HT: K	 IT: COL)"	Conocida solo del tipo	Andes	1600 m	1600 m	Valle	Cordillera Occidental
159	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum sneidernii	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	von Sneidern 5042 (HT: US)	Conocida solo del tipo	Andes	1700 m	1900 m	Risaralda	Cordillera Occidental
160	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum stenosiphon	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Pennell 4436 (HT: NY)	Conocida solo del tipo	Andes	1500 m	1800 m	C?rdoba	Nudo de Paramillo
161	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum stenostachyum	(Leonard) V.M.Baum	Odontonema stenostachyum Leonard	Leonard 1958, Baum 1982		Arbusto	Nativa	No Evaluada	"L?pez 63 (HT: US	 HT: US)"	Conocida solo del tipo	Pac?fico	150 m	150 m	Antioquia	Urab?
162	ACANTHACEAE	Pseuderanthemum	Pseuderanthemum thelotrix	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Core 819 (HT: US)	Tipo de Colombia	Andes, Valle del Magdalena	900 m	1710 m	Antioquia	
163	ACANTHACEAE	Rhombochlamys	Rhombochlamys elata	Lindau		Lindau 1897, Leonard 1958		Hierba	Nativa	No Evaluada	Lehmann 2891 (HT: B)	Tipo de Colombia	Andes	1372 m	2000 m	Antioquia, Valle	Cordillera Central
164	ACANTHACEAE	Rhombochlamys	Rhombochlamys rosulata	Lindau		Lindau 1897, Leonard 1958		Hierba	Nativa	No Evaluada	Lehmann 2197 (HT: B)	Conocida solo del tipo	Andes	1300 m	1300 m	Huila	Cordillera Central
165	ACANTHACEAE	Ruellia	Ruellia aquatica	Leonard		Leonard 1951		Hierba	Nativa	No Evaluada	Haught 1762 (HT: US)	Tipo de Colombia	Valle del Magdalena	100 m	700 m	Santander	
166	ACANTHACEAE	Ruellia	Ruellia aurantiaca	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Andr? 1203 (HT: K)	Conocida solo del tipo	Valle del Magdalena	400 m	400 m	Cundinamarca	
167	ACANTHACEAE	Ruellia	Ruellia calimensis	Wassh.		Wasshausen 1989a		Hierba	Nativa	No Evaluada	Robinson 164 (US)	Conocida solo del tipo	Andes	1350 m	1350 m	Valle	Cordillera Occidental
168	ACANTHACEAE	Ruellia	Ruellia caucensis	Leonard		Leonard 1951		Subarbusto	Nativa	No Evaluada	von Sneidern 2647 (HT: S)	Tipo de Colombia	Andes	1100 m	1100 m	Cauca	
169	ACANTHACEAE	Ruellia	Ruellia colombiana	Leonard		Leonard 1951		Hierba, Subarbusto	Nativa	No Evaluada	Cuatrecasas 16424 (HT: US)	Tipo de Colombia	Pac?fico, Valle del Magdalena	200 m	720 m	Antioquia, Choc?, C?rdoba, Valle	
170	ACANTHACEAE	Ruellia	Ruellia cuatrecasasii	Wassh.		Wasshausen 1989a		Subarbusto	Nativa	No Evaluada	Cuatrecasas 26123 (US)	Tipo de Colombia	Pac?fico	100 m	100 m	Antioquia	
171	ACANTHACEAE	Ruellia	Ruellia gorgonensis	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Cheeseman 533 (HT: K)	Tipo de Colombia	Pac?fico	0 m	0 m	Cauca	Isla Gorgona
172	ACANTHACEAE	Ruellia	Ruellia grantii	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Grant 10013 (HT: US	 IT: US)"	Conocida solo del tipo	Andes	1200 m	1200 m	Meta	Cordillera Oriental
173	ACANTHACEAE	Ruellia	Ruellia grisea	Leonard		Leonard 1951		Subarbusto	Nativa	No Evaluada	"P?rez-Arbel?ez 8336 (HT: US	 IT: COL)"	Conocida solo del tipo	Valle del Magdalena	820 m	860 m	Huila	
174	ACANTHACEAE	Ruellia	Ruellia haughtii	(Leonard) E.A.Tripp	Blechum haughtii Leonard	Leonard 1951, Tripp et al. 2009		Hierba	Nativa	No Evaluada	"Haught 4976 (HT: US	 IT: COL)"	Tipo de Colombia	Pac?fico	200 m	200 m	Antioquia	
175	ACANTHACEAE	Ruellia	Ruellia lasiostachya	Leonard		Leonard 1951		Subarbusto	Nativa	No Evaluada	"Uribe s.n. (HT: COL	 IT: US)"	Tipo de Colombia	Amazonia, Andes	300 m	900 m	Caquet?, Meta	
176	ACANTHACEAE	Ruellia	Ruellia longifilamentosa	Lindau		Lindau 1901, Leonard 1958		Arbusto	Nativa	No Evaluada	Garc?a-Barriga 10998 (COL, US)	Tipo de Colombia	Andes	1050 m	1550 m	Cauca, Cundinamarca	
177	ACANTHACEAE	Ruellia	Ruellia macarenensis	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Smith 1486 (HT: UC	 IT: COL, US)"	Conocida solo del tipo	Guayana y Serran?a de La Macarena	500 m	500 m	Meta	Serran?a de La Macarena
178	ACANTHACEAE	Ruellia	Ruellia obtusa	Nees		Leonard 1951, Leonard 1958	Ruellia obtusa f. albiflora Leonard	Hierba	Nativa	No Evaluada	Dugand 3280 (COL, US)	Tipo de Colombia	Llanura del Caribe, Valle del Magdalena	5 m	500 m	Atl?ntico, Bol?var, C?rdoba, Cundinamarca, La Guajira, Magdalena, Santander, Tolima	
179	ACANTHACEAE	Ruellia	Ruellia potamophila	Leonard		Leonard 1951, Leonard 1958		Subarbusto	Nativa	No Evaluada	"Killip 34747 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	630 m	1800 m	Choc?, Risaralda, Valle	Cordillera Occidental
180	ACANTHACEAE	Ruellia	Ruellia rusbyi	Leonard		Leonard 1951, Leonard 1958		Subarbusto	Nativa	No Evaluada	"Rusby 1000 (HT: GH	 IT: NY, US)"	Tipo de Colombia	Andes, Valle del Magdalena	700 m	1800 m	Cauca, Huila, Tolima	
181	ACANTHACEAE	Ruellia	Ruellia tolimensis	Leonard		Leonard 1951, Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Cuatrecasas 10529a (HT: COL	 IT: US)"	Tipo de Colombia	Valle del Magdalena	400 m	400 m	Cundinamarca, Tolima	
182	ACANTHACEAE	Ruellia	Ruellia uribei	Leonard		Leonard 1951		Hierba	Nativa	No Evaluada	"Uribe s.n. (HT: COL	 IT: US)"	Tipo de Colombia	Amazonia			Caquet?	
183	ACANTHACEAE	Ruellia	Ruellia viridiflora	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Lawrance 491 (HT: S	 IT: MO, NY)"	Conocida solo del tipo	Valle del Magdalena	750 m	750 m	Boyac?	
184	ACANTHACEAE	Siphonoglossa	Siphonoglossa calcarea	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Haught 3929 (HT: US	 IT: COL)"	Conocida solo del tipo	Llanura del Caribe	200 m	200 m	Magdalena	
185	ACANTHACEAE	Staurogyne	Staurogyne lepidagathoides	Leonard		Leonard 1951		Hierba	Nativa	No Evaluada	"Pennell s.n. (HT: US	 IT: GH, NY)"	Tipo de Colombia	Llanura del Caribe	100 m	150 m	Sucre	
186	ACANTHACEAE	Staurogyne	Staurogyne spraguei	Wassh.	Staurogyne leptocaulis Leonard	Leonard 1958, Wasshausen 1992		Hierba	Nativa	No Evaluada	"Sprague 27 (HT: K	 IT: K)"	Conocida solo del tipo	Orinoquia	190 m	190 m	Meta	
187	ACANTHACEAE	Stenandrium	Stenandrium andrei	(Leonard) Wassh.	Aphelandra andrei Leonard	Leonard 1958, Wasshausen 1975, Wasshausen 1997		Hierba	Nativa	No Evaluada	Andr? 4661 (K)	Tipo de Colombia	Andes			Cundinamarca	Cordillera Oriental
188	ACANTHACEAE	Stenandrium	Stenandrium arnoldii	(Mildbr.) Wassh.	Aphelandra arnoldii Mildbr.	Mildbraed 1930, Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Schultze 771 (B, destruido)	Tipo de Colombia	Sierra Nevada de Santa Marta	2150 m	2200 m	Magdalena	
189	ACANTHACEAE	Stenandrium	Stenandrium corymbosum	Nees		Nees 1847, Leonard 1953a		Hierba	Nativa	No Evaluada	Lobb 171 (HT: K)	Conocida solo del tipo		900 m	2250 m	Desconocido	
190	ACANTHACEAE	Stenandrium	Stenandrium fosbergii	(Leonard) Wassh.	Aphelandra fosbergii Leonard	Leonard 1958, Wasshausen 1975, Wasshausen 1997		Hierba	Nativa	No Evaluada	Grant 9319 (US)	Tipo de Colombia	Andes	2450 m	2450 m	Cundinamarca	Cordillera Oriental
191	ACANTHACEAE	Stenandrium	Stenandrium nephoica	(Wassh.) Wassh.	Aphelandra nephoica Wassh.	Wasshausen 1973, Wasshausen 1975, Wasshausen 1997		Hierba	Nativa	No Evaluada	Grubb 651 (HT: US)	Conocida solo del tipo	Andes	2250 m	2250 m	Boyac?	Cordillera Oriental
192	ACANTHACEAE	Stenostephanus	Stenostephanus aglaus	(Leonard) J.R.I.Wood	Habracanthus aglaus Leonard	Leonard 1958, Wood 1988, Wood 2009		Hierba	Nativa	No Evaluada	Cuatrecasas 11435 (COL)	Conocida solo del tipo	Andes	2100 m	2100 m	Putumayo	
193	ACANTHACEAE	Stenostephanus	Stenostephanus ampelinus	(Leonard) J.R.I.Wood	Habracanthus ampelinus Leonard, Habracanthus xantholeucus Leonard	Leonard 1958, Wood 1988, Wood 2009		Subarbusto	Nativa	No Evaluada	Wood 5020 (COL)	Tipo de Colombia	Andes	2500 m	2800 m	Cundinamarca	Cordillera Oriental
194	ACANTHACEAE	Stenostephanus	Stenostephanus atropurpureus	(Lindau) J.R.I.Wood	Habracanthus atropurpureus (Lindau) J.R.I.Wood, Kalbreyeracanthus atropurpureus (Lindau) Wassh., Syringidium purpureum Lindau	Lindau 1922, Wasshausen 1981, Wood 1988		Hierba	Nativa	No Evaluada	Kalbreyer 1524 (B, destruido)	Conocida solo del tipo	Andes			Norte de Santander	Cordillera Oriental
195	ACANTHACEAE	Stenostephanus	Stenostephanus charien	(Leonard) J.R.I.Wood	Habracanthus charien Leonard	Leonard 1958, Wood 1988, Wood 2009		Hierba	Nativa	No Evaluada	Grant 9439 (US)	Tipo de Colombia	Andes	2700 m	2700 m	Cundinamarca	Cordillera Oriental
196	ACANTHACEAE	Stenostephanus	Stenostephanus charitopes	(Leonard) J.R.I.Wood	Habracanthus charitopes (Leonard) J.R.I.Wood, Hansteinia charitopes Leonard	Leonard 1958, Wood 1988, Wood 2009		Hierba	Nativa	No Evaluada	Fosberg 19791 (US)	Tipo de Colombia	Andes	1900 m	2200 m	Caquet?, Huila	
197	ACANTHACEAE	Stenostephanus	Stenostephanus cleefii	(Wassh.) J.R.I.Wood	Habracanthus cleefii Wassh.	Wasshausen 1977, Wood 1988, Wood 2009		Hierba	Nativa	No Evaluada	"Cleef 7859 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2900 m	3300 m	Meta	Cordillera Oriental
198	ACANTHACEAE	Stenostephanus	Stenostephanus cuatrecasasii	(Leonard) J.R.I.Wood	Habracanthus cuatrecasasii Leonard	Leonard 1958, Wood 2009		Subarbusto	Nativa	No Evaluada	"Cuatrecasas 8740 (HT: F	 IT: COL)"	Conocida solo del tipo	Andes	1700 m	1700 m	Caquet?	Cordillera Oriental
199	ACANTHACEAE	Stenostephanus	Stenostephanus floriferus	(Leonard) J.R.I.Wood	Habracanthus florifer Leonard	Leonard 1958, Wood 2009		Subarbusto	Nativa	No Evaluada	"Cuatrecasas 8519 (HT: US	 IT: COL, NY)"	Conocida solo del tipo	Andes	2100 m	2250 m	Caquet?	
200	ACANTHACEAE	Stenostephanus	Stenostephanus hispidulus	(Leonard) Wassh.	Habracanthus erythranthus Leonard, Habracanthus heliophilus Leonard, Habracanthus hispidulus Leonard	Leonard 1958, Wood 1988, Wood 2009		Hierba, Subarbusto	Nativa	No Evaluada	Wood 5370 (COL)	Tipo de Colombia	Andes	1600 m	2500 m	Antioquia, Choc?, Tolima	
201	ACANTHACEAE	Stenostephanus	Stenostephanus kirkbridei	(Wassh.) J.R.I.Wood	Habracanthus kirkbridei (Wassh.) J.R.I.Wood, Kalbreyeracanthus kirkbridei Wassh.	Wasshausen 1985a, Wood 1988, Wood 2009		Arbusto	Nativa	No Evaluada	"Kirkbride 2242 (HT: US	 IT: COL)"	Tipo de Colombia	Sierra Nevada de Santa Marta	1800 m	1800 m	Magdalena	
202	ACANTHACEAE	Stenostephanus	Stenostephanus lamprus	(Leonard) J.R.I.Wood	Habracanthus congestus Leonard, Habracanthus corei Leonard, Habracanthus lamprus Leonard	Leonard 1958, Wood 1988, Wood 2009		Subarbusto	Nativa	No Evaluada	"Haught 6031 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2300 m	2900 m	Boyac?, Cauca, Cundinamarca, Tolima	
203	ACANTHACEAE	Stenostephanus	Stenostephanus latifolius	(Wassh.) J.R.I.Wood	Habracanthus latifolius Wassh.	Wasshausen 1984, Wood 2009		Subarbusto	Nativa	No Evaluada	"Cuatrecasas 25284 (HT: US	 IT: COL)"	Conocida solo del tipo	Andes	2600 m	2600 m	Cesar	Serran?a de Perij?
204	ACANTHACEAE	Stenostephanus	Stenostephanus leonardianus	(J.R.I.Wood) J.R.I.Wood	Habracanthus leonardianus J.R.I.Wood	Wood 1988, Wood 2009		Subarbusto	Nativa	No Evaluada	"Wood 5121 (HT: COL	 IT: FMB, K)"		Andes	2850 m	2850 m	Cundinamarca	Cordillera Oriental
