N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
5098	ORCHIDACEAE	Stelis	Stelis crenulata	O.Duque		Duque 2010, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Serna s.n. (HT: JAUM)	Conocida solo del tipo	Andes	1500 m	1500 m	Valle	Cordillera Occidental
5099	ORCHIDACEAE	Stelis	Stelis cruenta	O.Duque		Duque 2010, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Acevedo s.n. (HT: JAUM)	Conocida solo del tipo	Andes	2000 m	2000 m	Antioquia	Cordillera Central
5100	ORCHIDACEAE	Stelis	Stelis cuatrecasasii	(Luer) Pridgeon & M.W.Chase	Crocodeilanthe cuatrecasasii (Luer) Luer, Pleurothallis cuatrecasasii Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Cuatrecasas 19264 (HT: NY)	Tipo de Colombia	Andes	2950 m	3150 m	Cauca	
5101	ORCHIDACEAE	Stelis	Stelis cuculligera	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 169 (?)	Conocida solo del tipo	Andes	3500 m	3500 m	Nari?o	
5102	ORCHIDACEAE	Stelis	Stelis cundinamarcae	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Schnitter s.n. (?)	Conocida solo del tipo	Andes	2000 m	2500 m	Cundinamarca	
5103	ORCHIDACEAE	Stelis	Stelis cycloglossa	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Hopf s.n. (?)	Conocida solo del tipo	Andes	2000 m	2500 m	Nari?o	
5104	ORCHIDACEAE	Stelis	Stelis dolichopus	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada						Desconocido	
5105	ORCHIDACEAE	Stelis	Stelis duquei	P.Ortiz		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Gonzaga s.n. (HT: JAUM)		Andes	1300 m	1300 m	Huila	
5106	ORCHIDACEAE	Stelis	Stelis efsiella	Luer		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 3300 (HT: K)		Andes	1000 m	1000 m	Cauca	
5107	ORCHIDACEAE	Stelis	Stelis erecta	O.Duque		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1677 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	2300 m	Antioquia	
5108	ORCHIDACEAE	Stelis	Stelis erucosa	(Luer & R.Escobar) Pridgeon & M.W.Chase	Pleurothallis erucosa Luer & R.Escobar, Specklinia erucosa (Luer & R.Escobar) Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Luer 2341 (HT: SEL)	Tipo de Colombia	Pac?fico	2 m	2 m	Antioquia	
5109	ORCHIDACEAE	Stelis	Stelis eugenii	Schltr.		Garay 1979, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Langlass? 104 (LT: US)	Tipo de Colombia	Andes	600 m	1200 m	Antioquia, Cauca	
5110	ORCHIDACEAE	Stelis	Stelis flaccida	(Klinge) Pridgeon & M.W.Chase	Pleurothallis flaccida Klinge	Dodson 1992, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada						Desconocido	
5111	ORCHIDACEAE	Stelis	Stelis floripendens	O.Duque		Duque 2010, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Gonzaga s.n. (HT: JAUM)	Conocida solo del tipo	Andes			Putumayo	Andes de Putumayo
5112	ORCHIDACEAE	Stelis	Stelis foetida	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1760 (HT: JAUM)	Tipo de Colombia	Andes	1500 m	2300 m	Antioquia, Risaralda	
5113	ORCHIDACEAE	Stelis	Stelis franciscana	O.Duque		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1890 (HT: JAUM)	Tipo de Colombia	Andes	2200 m	2200 m	Antioquia	
5114	ORCHIDACEAE	Stelis	Stelis fredoniensis	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2281 (HT: JAUM)	Conocida solo del tipo	Andes			Antioquia	Cordillera Central
5115	ORCHIDACEAE	Stelis	Stelis furfuracea	F.Lehm. & Kraenzl.	Stelis pleurothalloides Ames	Garay 1979, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Pittier 1156 (HT: AMES)	Tipo de Colombia	Andes	2800 m	3600 m	Cauca, Norte de Santander	Colombia (prob. Ecuador)
5116	ORCHIDACEAE	Stelis	Stelis galerasensis	(Luer) Pridgeon & M.W.Chase	Crocodeilanthe galerasensis (Luer) Luer, Pleurothallis galerasensis Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 3749 (HT: SEL)	Tipo de Colombia	Andes	3200 m	3200 m	Nari?o	S Colombia
5117	ORCHIDACEAE	Stelis	Stelis gargantua	Pridgeon & M.W.Chase	Crocodeilanthe gigas (Luer & R.Escobar) Luer, Pleurothallis gigas Luer & R.Escobar, Stelis gigas (Luer & R.Escobar) Pridgeon & M.W.Chase	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 14152 (HT: MO)	Tipo de Colombia	Andes	1700 m	2500 m	Antioquia	
5118	ORCHIDACEAE	Stelis	Stelis globosa	Pridgeon & M.W.Chase	Crocodeilanthe popayanensis (F.Lehm. & Kraenzl.) Luer, Pleurothallis popayanensis F.Lehm. & Kraenzl., Stelis popayanensis (F.Lehm. & Kraenzl.) Pridgeon & M.W.Chase	Luer 1998a, Luer 2004, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 4514 (HT: K)	Tipo de Colombia	Andes	2500 m	3000 m	Cauca	
5119	ORCHIDACEAE	Stelis	Stelis gloriae	O.Duque		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2483 (JAUM)	Conocida solo del tipo	Andes			Antioquia	Cordillera Central
5120	ORCHIDACEAE	Stelis	Stelis gustavoi	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1835 (HT: JAUM)	Conocida solo del tipo	Andes	2500 m	2500 m	Antioquia	
5121	ORCHIDACEAE	Stelis	Stelis hirsuta	Garay		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Grant 9362 (IT: US)	Tipo de Colombia	Andes	2200 m	2200 m	Cundinamarca	
5122	ORCHIDACEAE	Stelis	Stelis hoppii	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 123 (?)	Tipo de Colombia	Andes	2800 m	2800 m	Nari?o	
5123	ORCHIDACEAE	Stelis	Stelis huilensis	O.Duque		Duque 2011, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Duque 2160 (HT: JAUM)	Conocida solo del tipo	Andes			Huila	Macizo Colombiano
5124	ORCHIDACEAE	Stelis	Stelis inclinata	O.Duque		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1914 (HT: JAUM)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	
5125	ORCHIDACEAE	Stelis	Stelis infundibulosa	(Luer) Pridgeon & M.W.Chase	Crocodeilanthe infundibulosa (Luer) Luer, Pleurothallis infundibulosa Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Fassett 25732 (HT: US)	Tipo de Colombia	Andes	2590 m	2590 m	Santander	
5126	ORCHIDACEAE	Stelis	Stelis jurisdixii	(Luer & R.Escobar) Pridgeon & M.W.Chase	Crocodeilanthe jurisdixii (Luer & R.Escobar) Luer, Pleurothallis jurisdixii Luer & R.Escobar	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Luer 10211 (HT: COL)	Tipo de Colombia	Andes	2100 m	2100 m	Norte de Santander	NE Colombia
