species	Nombre_Esp	Nombre_Ing	Cat.	Paises	Region	Fuente
Atlapetes melanocephalus	Atlapetes de Santa Marta	Santa Marta Brush-Finch	E		B1,C1	87, 137, 138, 139
Atlapetes flaviceps	Atlapetes de Anteojos	Yellow-headed Brush-Finch	E		B4b,B5,B6	18, 82, 105, 115, 132
Atlapetes fuscoolivaceus	Atlapetes Oliv?ceo	Dusky-headed Brush-Finch	E		B6,B4a,C4	
Atlapetes blancae	Gorri?n-Mont?s Paisa	Antioquia Brush-Finch	E		C4	46, 48
Habia gutturalis	Habia Ahumada	Sooty Ant-Tanager	E		A2	
Habia cristata	Habia Copetona	Crested Ant-Tanager	E		A3,B3,B4,B6	
Myioborus flavivertex	Abanico Colombiano	Yellow-crowned Redstart	E		B1,C1	
Basileuterus conspicillatus	Ara?ero Embridado	White-lored Warbler	E		A1,B1	
Basileuterus basilicus	Ara?ero de Santa Marta	Santa Marta Warbler	E		C1	
Psarocolius cassini	Oropendola del Baud?	Baudo Oropendola	E		A3	
Macroagelaius subalaris	Chango de Monta?a	Mountain Grackle	E		B7,B8a,C5	37
Hypopyrrhus pyrohypogaster	Chango Colombiano	Red-bellied Grackle	E		B8b,B4,B5,B6,C3, C4	
Euphonia concinna	Eufonia Frentinegra	Velvet-fronted Euphonia	E		A5	
"^: Fuentes rese?adas en Anexo 2	 *conjunto taxonomico en espera de confiramcion de separacion de johnsonii"						
